name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
IC1257,c,261.7854,-7.0931,25.0,-,1.4,-,-6.15,-,-140.2,2.1,Harris2010
Terzan2,c,261.8879,-30.8023,7.5,-,1.52,-,-5.88,-,109.0,15.0,Harris2010
NGC6366,c,261.9343,-5.0799,3.5,-,2.92,-,-5.74,-,-122.2,0.5,Harris2010
Terzan4,c,262.6625,-31.5955,7.2,-,1.85,-,-4.48,-,-50.0,2.9,Harris2010
HP1,c,262.7717,-29.9817,8.2,-,3.1,-,-6.46,-,45.8,0.7,Harris2010
NGC6362,c,262.9791,-67.0483,7.6,-,2.05,-,-6.95,-,-13.1,0.6,Harris2010
Liller1,c,263.3521,-33.389,8.2,-,-,-,-7.32,-,52.0,15.0,Harris2010
NGC6380,c,263.6167,-39.0692,10.9,-,0.74,-,-7.5,-,-3.6,2.5,Harris2010
Terzan1,c,263.9492,-30.4697,6.7,-,3.82,-,-4.41,-,114.0,14.0,Harris2010
Ton2,c,264.0438,-38.5533,8.2,-,1.3,-,-6.17,-,-184.4,2.2,Harris2010
NGC6388,c,264.0718,-44.7355,9.9,-,0.52,-,-9.41,-,80.1,0.8,Harris2010
NGC6402,c,264.4004,-3.2459,9.3,-,1.3,-,-9.1,-,-66.1,1.8,Harris2010
NGC6401,c,264.6525,-23.9095,10.6,-,1.91,-,-7.9,-,-65.0,8.6,Harris2010
NGC6397,c,265.1754,-53.6743,2.3,-,2.9,-,-6.64,-,18.8,0.1,Harris2010
Pal6,c,265.9258,-26.2225,5.8,-,1.2,-,-6.79,-,181.0,2.8,Harris2010
NGC6426,c,266.2277,3.1701,20.6,-,0.92,-,-6.67,-,-162.0,23.0,Harris2010
Djorg1,c,266.8679,-33.0656,13.7,-,1.59,-,-6.98,-,-362.4,3.6,Harris2010
Terzan5,c,267.02,-24.7792,6.9,-,0.72,-,-7.42,-,-93.0,2.0,Harris2010
NGC6440,c,267.2196,-20.3602,8.5,-,0.48,-,-8.75,-,-76.6,2.7,Harris2010
NGC6441,c,267.5544,-37.0514,11.6,-,0.57,-,-9.63,-,16.5,1.0,Harris2010
Terzan6,c,267.6932,-31.2754,6.8,-,0.44,-,-7.59,-,126.0,15.0,Harris2010
NGC6453,c,267.7154,-34.5992,11.6,-,0.44,-,-7.22,-,-83.7,8.3,Harris2010
UKS1,c,268.6133,-24.1453,7.8,-,-,-,-6.91,-,57.0,6.0,Harris2010
NGC6496,c,269.7653,-44.2659,11.3,-,1.02,-,-7.2,-,-112.7,5.7,Harris2010
Terzan9,c,270.4117,-26.8397,7.1,-,0.78,-,-3.71,-,59.0,10.0,Harris2010
Djorg2,c,270.4546,-27.8258,6.3,-,1.05,-,-7.0,-,-,-,Harris2010
NGC6517,c,270.4605,-8.9588,10.6,-,0.5,-,-8.25,-,-39.6,8.0,Harris2010
Terzan10,c,270.9017,-26.0725,5.8,-,1.55,-,-6.35,-,-,-,Harris2010
NGC6522,c,270.8918,-30.034,7.7,-,1.0,-,-7.65,-,-21.1,3.4,Harris2010
NGC6535,c,270.9605,-0.2976,6.8,-,0.85,-,-4.75,-,-215.1,0.5,Harris2010
NGC6528,c,271.2068,-30.0563,7.9,-,0.38,-,-6.57,-,206.6,1.4,Harris2010
NGC6539,c,271.207,-7.5859,7.8,-,1.7,-,-8.29,-,31.0,1.7,Harris2010
NGC6540,c,271.5358,-27.7653,5.3,-,-,-,-6.35,-,-17.7,1.4,Harris2010
NGC6544,c,271.8358,-24.9973,3.0,-,1.21,-,-6.94,-,-27.3,3.9,Harris2010
NGC6541,c,272.0098,-43.7149,7.5,-,1.06,-,-8.52,-,-158.7,2.3,Harris2010
